	wikidata_code	birth	death	updated_death_date	approx_birth	approx_death	birth_min	birth_max	death_min	death_max	gender	level1_main_occ	name	un_subregion	birth_estimation	death_estimation	bigperiod_birth_graph_b	bigperiod_death_graph_b	curid	level2_main_occ	freq_main_occ	freq_second_occ	level2_second_occ	level3_main_occ	bigperiod_birth	bigperiod_death	wiki_readers_2015_2018	non_missing_score	total_count_words_b	number_wiki_editions	total_noccur_links_b	sum_visib_ln_5criteria	ranking_visib_5criteria	all_geography_groups	string_citizenship_raw_d	citizenship_1_b	citizenship_2_b	list_areas_of_rattach	area1_of_rattachment	area2_of_rattachment	list_wikipedia_editions	un_region	group_wikipedia_editions	bplo1	dplo1	bpla1	dpla1	pantheon_1	level3_all_occ
867882	Q25766789	1905.0	1980.0				1905.0	1905.0	1980.0	1980.0	Male	Leadership	Ludwig_Gillitzer	Western Europe	1905.0	1980.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	9516614	Politics	0.5	0.5	Administration/Law	minister	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	442	3	1862	1	2	15.422022	1742295.5			Germany		P:_'Germany'_can't_verifyB1	Old_(before_year_1990_AD)_Germany	Missing	dewiki	Europe	grB	11.96666622161870		49.91666793823240		0	D:_P:_jurist_minister_German
1078727	Q3103915	1942.0	2013.0				1942.0	1942.0	2013.0	2013.0	Male	Culture	Gerald_Schueler		1942.0	2013.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	18495418	Culture-core	0.40000001	0.40000001	Worker/Business (small)	author	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	3139	3	2107	1	2	17.498188	1237478.0						Missing	Missing	enwiki		grA	-75.25830078125		39.91830062866210		0	D:_analyst_P:_author_writer_editor_English
1533342	Q5077671										Male	Culture	Charles_Firth_(comedian)	Oceania Western World					5881232	Culture-core	1.0		Missing	screenwriter	Missing	Missing	30255	2	3121	1	6	20.715153	669367.5	Australia	'Australia'	Australia		D:_'Australia'_matchB1_P:_'Australia'	Australia	Missing	enwiki	Oceania	grA					0	D:_screenwriter_P:_comedian_English
810457	Q23926741	1993.0					1993.0	1993.0			Male	Sports/Games	Fabian_Kalig	Western Europe	1993.0	2071.7939	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	51845238	Sports/Games	1.0		Missing	football	5.Contemporary period 1901-2020AD	Missing	6418	3	5818	3	3	20.208958	495981.0	Germany	'Germany'	Germany		D:_'Germany'_matchB1_P:_'Germany'	Germany	Missing	dewiki|enwiki|itwiki	Europe	grA	8.239999771118160		50.08250045776370		0	D:_football_P:_football_English_calciatore_difensore_Italian_fuÃball_German
96753	Q121809	1935.0	2020.0				1935.0	1935.0	2020.0	2020.0	Male	Discovery/Science	Heinrich_Fink	Western Europe	1935.0	2020.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	21941390	Academia	0.75	0.25	Politics	theologian	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	20037	3	7448	3	13	22.846722	209934.5	Germany,Old_regimes_in_/_of_Germany	'Germany'_'East_Germany'	Germany		D:_'Germany'_'East_Germany'_matchB1_P:_'Germany'	Germany	Missing	dewiki|enwiki|huwiki	Europe	grA	38.01083374023440	13.38333320617680	47.41388702392580	52.51666641235350	0	D:_theologian_politician_academic_P:_theologian_professor_politician_English_theologe_hochschullehrer_rektor_German
1051080	Q3025478	1987.0					1987.0	1987.0			Male	Sports/Games	Devin_McCourty	Northern America	1987.0	2067.9182	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	25819003	Sports/Games	1.0		Missing	football	5.Contemporary period 1901-2020AD	Missing	629093	3	26469	4	2	26.243858	307154.0	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	frwiki|enwiki|itwiki|dewiki	America	grA	-73.92250061035160		41.09249877929690		0	D:_football_P:_football_patriot_nfl_English_joueur_football_French_giocatore_football_nfl_Italian_nfl_German
924169	Q27507659				century		1901.0	2000.0			Male	Sports/Games	Armando_Aguilar	Central America	1951.0	2022.3014	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	9630811	Sports/Games	1.0		Missing	football	Missing	Missing	207	3	1370	1	0	13.268301	2843265.0	Mexico	'Mexico'	Mexico		D:_'Mexico'_matchB1_P:_'Mexico'	Mexico	Missing	dewiki	America	grB					0	D:_football_P:_fuÃball_stÃ¼rmer_German
1343424	Q42585036	1927.0		2021.0			1927.0	1927.0			Female	Discovery/Science	Constance_van_Eeden	Western Europe	1927.0	2005.6967	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	55698678	Academia	1.0		Missing	mathematician	5.Contemporary period 1901-2020AD	Missing	644	3	2288	1	5	16.694668	1290057.0	Canada	'Canada'	Netherlands	Canada	D:_'Canada'_mismatchB1_P:_'Netherlands'	Netherlands	Canada	enwiki	Europe	grA	4.359444618225100		52.01194381713870		0	D:_mathematician_P:_statistician_science_statistician_English
2055669	Q7175283	1951.0					1951.0	1951.0			Male	Leadership	Peter_KresÃ¡nek	Eastern Europe	1951.0	2022.6182	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	29998135	Politics	1.0		Missing	politician	5.Contemporary period 1901-2020AD	Missing	2724	3	1912	2	2	17.664976	940201.0	Slovakia	'Slovakia'	Slovakia		D:_'Slovakia'_matchB1_P:_'Slovakia'	Slovakia	Missing	enwiki|skwiki	Europe	grA	17.11277770996090		48.14472198486330		0	D:_politician_P:_politician_parliament_mayor_English
1548080	Q5111620										Male	Sports/Games	Christo_Niewoudt	Southern Africa					19957363	Sports/Games	1.0		Missing	cricket	Missing	Missing	506	2	1427	2	1	15.002519	1706795.0	South_Africa	'South_Africa'	South_Africa		D:_'South_Africa'_matchB1_P:_'South_Africa'	South_Africa	Missing	enwiki|tawiki	Africa	grA					0	D:_cricket_P:_cricket_batsman_bowler_English
